ПІБ кандидата,Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-02-06,1,"ТОВ ""ПЕРША –РЕКЛА-МНА КОМПАНІЯ ""НАЙКРАЩА""",м. Камʼянське,40519311,"+;1220;Оплата друкованих площ у друкованих засобах масової інформації згідно з рахунком №2 від 31.01.2019(без ПДВ);Пл-никДобродомов Д.Є., ІПН 2813704259",3000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-02-06,1,"ТОВ ""ПЕРША РЕКЛАМНА КОМПАНІЯ ""НАЙКРАЩА""",м. Камʼянське,40519311,+;1220;Оплата друкованих площ у друкованих засобах масової інформації згідно з рахунком №5 від 6.02.2019 без ПДВ,3000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-02-06,1,"ТОВ ""ПЕРША РЕКЛАМНА КОМПАНІЯ ""НАЙКРАЩА""",м. Камʼянське,40519311,+;1220;Оплата друкованих площ у друкованих засобах масової інформації згідно з рахунком №8 від 6.02.2019 без ПДВ,5000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-02-06,1,"ТОВ ""ПЕРША –РЕКЛА-МНА К-ОМПАНІЯ ""НАЙКРАЩА""",м. Камʼянське,40519311,+;1220;Оплата друкованих площ у друкованих засобах масової інформації згідно з рахунком №4 від 6.02.2019 без ПДВ,5000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-02-06,1,"ТОВ ""ПЕРША РЕКЛАМНА КОМПАНІЯ ""НАЙКРАЩА""",м. Камʼянське,40519311,+;1220;Оплата друкованих площ у друкованих засобах масової інформації згідно з рахунком №6 від 6.02.2019 без ПДВ,5000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-02-06,1,"ТОВ ""ПЕРША РЕКЛАМНА КОМПАНІЯ ""НАЙКРАЩА""",м. Камʼянське,40519311,"+;1220;Оплата друкованих площ у друкованих засобах масової інформації згідно з рахунком №1 від 31.01.2019(без ПДВ);Платник Добродомов Д.Є., ІПН 2813704259",3000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1211,2019-02-06,1,"КП КМР ""Міська інформаційна служба""",м. Камʼянське,30169697,"+;1220;Оплата ефірного часу на телеб. Зг.рах.-факт. № КП-0000019 від 04.02.19, у тому числі ПДВ 1639,99 грн.",9840,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-02-06,1,"ПП ""ДС-Колегія""",м. Камʼянське,41472063,+;1220;Оплата друков. Площ у друков. Засобах масової інформації зг. Рах. Факт №ДС-000047 Дог.№3/19 від 01.02.19(без ПДВ);Пл-ник Добродомов Д.Є. ІПН 2813704259,17100,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1350,2019-02-06,1,"ТОВ ""СІЛЛ АУТДОР""",м. Дніпро,41720623,"+;1350;Розм. друк.агіт.мат.чи пол.. рекл. на носіях. Зовн.рекл. (біл б,..) по дог.№1-310119 від 31.01.19 рах. №САД000000042 від 31.01.19(Без ПДВ) ",25000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1350,2019-02-06,1,"ТОВ ""ПЕРША РЕКЛАМНА КОМПАНІЯ ""НАЙКРАЩА""",м. Камʼянське,40519311,"+;1350;Зозміщення друков.агітац.мат. чи політ.реклами на носіях зовнішн.реклами (білбордах) зг.з рах. №3 від 04.02.2019, в т.ч. ПДВ;Пл-к Добродомов Д.Є., ІПН 2813704259",39600,юридична особа
